,Topic_1
Term_86174,using interview
Term_86175,using interview data
Term_86176,using isi
Term_86177,using isi data
Term_86178,using isi highly
Term_86179,using joint
Term_86180,using joint publications
Term_86181,using journal
Term_86182,using journal article
Term_86183,using journal citation
Term_86184,using journal impact
Term_86185,using knowledge
Term_86186,using knowledge management
Term_86187,using language
Term_86188,using language based
Term_86189,using latent
Term_86190,using latent dirichlet
Term_86191,using latent markov
Term_86192,using leiden
Term_86193,using leiden rankings
Term_86194,using lessons
Term_86195,using lessons health
Term_86196,using lexical
Term_86197,using lexical analysis
Term_86198,using lexical knowledge
Term_86199,using linear
Term_86200,using linear dimensional
Term_86201,using link
Term_86202,using link indicator
Term_86203,using link prediction
Term_86204,using lsa
Term_86205,using lsa predication
Term_86206,using lsi
Term_86207,using lsi subspace
Term_86208,using machine
Term_86209,using machine learning
Term_86210,using macro
Term_86211,using macro indicators
Term_86212,using mann
Term_86213,using mann whitney
Term_86214,using maximum
Term_86215,using maximum entropy
Term_86216,using maximum likelihood
Term_86217,using mean
Term_86218,using mean index
Term_86219,using medical
Term_86220,using medical subject
Term_86221,using method
Term_86222,using method combined
Term_86223,using microsoft
Term_86224,using microsoft academic
Term_86225,using mixed
Term_86226,using mixed methods
Term_86227,using mixtures
Term_86228,using mixtures factor
Term_86229,using modified
Term_86230,using modified citation
Term_86231,using monte
Term_86232,using monte carlo
Term_86233,using multi
Term_86234,using multi aspect
Term_86235,using multi level
Term_86236,using multidimensional
Term_86237,using multidimensional scaling
Term_86238,using multiple
Term_86239,using multiple document
Term_86240,using multiple methods
Term_86241,using multiple regression
Term_86242,using multivariate
Term_86243,using multivariate methods
Term_86244,using munich
Term_86245,using munich example
Term_86246,using musart
Term_86247,using musart testbed
Term_86248,using natural
Term_86249,using natural language
Term_86250,using network
Term_86251,using network approach
Term_86252,using network science
Term_86253,using network workbench
Term_86254,using neural
Term_86255,using neural network
Term_86256,using neural networks
Term_86257,using observational
Term_86258,using observational methods
Term_86259,using occurrence
Term_86260,using occurrence heuristic
Term_86261,using odds
Term_86262,using odds positive
Term_86263,using online
Term_86264,using online databases
Term_86265,using ordinal
Term_86266,using ordinal fuzzy
Term_86267,using outlinks
Term_86268,using outlinks heterogeneous
Term_86269,using overlays
Term_86270,using overlays google
Term_86271,using pagerank
Term_86272,using paired
Term_86273,using paired comparisons
Term_86274,using partial
Term_86275,using partial pattern
Term_86276,using partial squares
Term_86277,using pascal
Term_86278,using pascal database
Term_86279,using patent
Term_86280,using patent analyses
Term_86281,using patent analysis
Term_86282,using patent classification
Term_86283,using patent information
Term_86284,using patent inventorships
Term_86285,using patent statistics
Term_86286,using patents
Term_86287,using patents combined
Term_86288,using patents cross
Term_86289,using percentile
Term_86290,using percentile rank
Term_86291,using personal
Term_86292,using personal distribution
Term_86293,using personal sense
Term_86294,using phrase
Term_86295,using phrase level
Term_86296,using phrases
Term_86297,using polarity
Term_86298,using polarity mining
Term_86299,using population
Term_86300,using population dynamics
Term_86301,using predicate
Term_86302,using predicate argument
Term_86303,using probabilistic
Term_86304,using probabilistic partnership
Term_86305,using profiling
Term_86306,using profiling analysis
Term_86307,using pseudocollaboration
Term_86308,using psycholinguistic
Term_86309,using psycholinguistic features
Term_86310,using publication
Term_86311,using publication analysis
Term_86312,using publication based
Term_86313,using publication network
Term_86314,using pubmed
Term_86315,using pubmed central
Term_86316,using quantum
Term_86317,using quantum physics
Term_86318,using query
Term_86319,using query expansion
Term_86320,using query independent
Term_86321,using random
Term_86322,using random forests
Term_86323,using ranking
Term_86324,using ranking sentences
Term_86325,using rare
Term_86326,using rare inventor
Term_86327,using ratios
Term_86328,using ratios averages
Term_86329,using reference
Term_86330,using reference analysis
Term_86331,using relevance
Term_86332,using relevance information
Term_86333,using repec
Term_86334,using repec data
Term_86335,using representative
Term_86336,using representative query
Term_86337,using rhythms
Term_86338,using rhythms relationships
Term_86339,using rubrics
Term_86340,using rubrics assess
Term_86341,using sampling
Term_86342,using sampling binomial
Term_86343,using sao
Term_86344,using sao based
Term_86345,using science
Term_86346,using science citation
Term_86347,using scientific
Term_86348,using scientific literature
Term_86349,using scientific publications
Term_86350,using scientometrics
Term_86351,using scientometrics comment
Term_86352,using scientometrics example
Term_86353,using scientometrics webometrics
Term_86354,using score
Term_86355,using score rank
Term_86356,using scratch
Term_86357,using scripts
Term_86358,using scripts streamline
Term_86359,using search
Term_86360,using search engines
Term_86361,using self
Term_86362,using self organizing
Term_86363,using semantic
Term_86364,using semantic networks
Term_86365,using semantic patent
Term_86366,using semisupervised
Term_86367,using semisupervised learning
Term_86368,using series
Term_86369,using series expansion
Term_86370,using shanghai
Term_86371,using shanghai ranking
Term_86372,using shape
Term_86373,using shape centroids
Term_86374,using shape recovery
Term_86375,using similarity
Term_86376,using similarity preserving
Term_86377,using simple
Term_86378,using simple fuzzy
Term_86379,using simple publication
Term_86380,using site
Term_86381,using site level
Term_86382,using smoothing
Term_86383,using smoothing methods
Term_86384,using social
Term_86385,using social media
Term_86386,using social network
Term_86387,using social tags
Term_86388,using statistical
Term_86389,using statistical contextual
Term_86390,using statistical quantile
Term_86391,using statistical significance
Term_86392,using stepwise
Term_86393,using stepwise regression
Term_86394,using stopword
Term_86395,using stopword grams
Term_86396,using structural
Term_86397,using structural information
Term_86398,using structured
Term_86399,using structured annotation
Term_86400,using stylistic
Term_86401,using stylistic feature
Term_86402,using subfield
Term_86403,using subfield corrected
Term_86404,using subjective
Term_86405,using subjective triggers
Term_86406,using successive
Term_86407,using successive binary
Term_86408,using supply
Term_86409,using supply chain
Term_86410,using surname
Term_86411,using surname plus
Term_86412,using survey
Term_86413,using survey cluster
Term_86414,using tags
Term_86415,using tags semantic
Term_86416,using targeted
Term_86417,using targeted design
Term_86418,using tencent
Term_86419,using tencent microblogging
Term_86420,using text
Term_86421,using text classification
Term_86422,using text mining
Term_86423,using theme
Term_86424,using theme code
Term_86425,using thesaurus
Term_86426,using thesaurus stage
Term_86427,using thesaurus structure
Term_86428,using thesaurus structures
Term_86429,using time
Term_86430,using time series
Term_86431,using time transition
Term_86432,using topic
Term_86433,using topic maps
Term_86434,using topic modeling
Term_86435,using trace
Term_86436,using trace metrics
Term_86437,using tricitation
Term_86438,using tricitation dissect
Term_86439,using triple
Term_86440,using triple helix
Term_86441,using untapped
Term_86442,using untapped source
Term_86443,using vector
Term_86444,using vector space
Term_86445,using visualization
Term_86446,using visualization clustering
Term_86447,using vxinsight
Term_86448,using vxinsight science
Term_86449,using ward
Term_86450,using ward clustering
Term_86451,using web
Term_86452,using web knowledge
Term_86453,using web link
Term_86454,using web research
Term_86455,using web text
Term_86456,using weighted
Term_86457,using weighted frequency
Term_86458,using wikipedia
Term_86459,using wikipedia value
Term_86460,using word
Term_86461,using word analysis
Term_86462,using word reference
Term_86463,using wordnet
Term_86464,using zero
Term_86465,using zero inflated
Term_86466,using zp
Term_86467,using zp index
Term_86468,uspc
Term_86469,uspc reclassifications
Term_86470,uspto
Term_86471,uspto data
Term_86472,uspto data based
Term_86473,uspto epo
Term_86474,uspto patent
Term_86475,uspto patent data
Term_86476,uspto patent documents
Term_86477,uspto patents
Term_86478,uspto patents 1990
Term_86479,ussr
Term_86480,utaut
Term_86481,utaut model
Term_86482,utaut model social
Term_86483,utility
Term_86484,utility ec
Term_86485,utility ec research
Term_86486,utility international
Term_86487,utility international publication
Term_86488,utility journals
Term_86489,utility journals crime
Term_86490,utility maximization
Term_86491,utility maximization approach
Term_86492,utility patents
Term_86493,utility research
Term_86494,utility research users
Term_86495,utility scientific
Term_86496,utility scientific papers
Term_86497,utility scientometrics
Term_86498,utility scientometrics research
Term_86499,utilization
Term_86500,utilization artificial
Term_86501,utilization artificial neural
Term_86502,utilization functions
Term_86503,utilization functions obsolescence
Term_86504,utilization patented
Term_86505,utilization patented inventions
Term_86506,utilization research
Term_86507,utilization research difficulties
Term_86508,utilization research results
Term_86509,utilization triangle
Term_86510,utilization triangle classification
Term_86511,utilization web
Term_86512,utilization web academic
Term_86513,utilize
Term_86514,utilizing
Term_86515,utilizing functions
Term_86516,utilizing functions information
Term_86517,utilizing online
Term_86518,utilizing online medical
Term_86519,utilizing quantitative
Term_86520,utilizing quantitative users
Term_86521,utilizing spatial
Term_86522,utilizing spatial information
Term_86523,utilizing stopword
Term_86524,utilizing stopword list
Term_86525,utilizing term
Term_86526,utilizing term proximity
Term_86527,utilizing user
Term_86528,utilizing user context
Term_86529,vaccines
Term_86530,vaccines 1990
Term_86531,vaccines 1990 1995
Term_86532,vagueness
Term_86533,valence
Term_86534,valence consistent
Term_86535,valence consistent shift
Term_86536,valid
Term_86537,valid sophisticated
Term_86538,valid sophisticated indicator
Term_86539,validating
Term_86540,validating indicators
Term_86541,validating indicators interdisciplinarity
Term_86542,validating online
Term_86543,validating online reference
Term_86544,validating usefulness
Term_86545,validating usefulness examiners
Term_86546,validation
Term_86547,validation advanced
Term_86548,validation advanced bibliometric
Term_86549,validation bibliometric
Term_86550,validation bibliometric indicators
Term_86551,validation bit
Term_86552,validation bit comparison
Term_86553,validation collective
Term_86554,validation collective annotations
Term_86555,validation departmental
Term_86556,validation departmental link
Term_86557,validation evaluation
Term_86558,validation evaluation indicators
Term_86559,validation global
Term_86560,validation global model
Term_86561,validation improvement
Term_86562,validation improvement journal
Term_86563,validation improvement subject
Term_86564,validation model
Term_86565,validation model information
Term_86566,validation neural
Term_86567,validation neural network
Term_86568,validation optimization
Term_86569,validation optimization organizational
Term_86570,validation peer
Term_86571,validation peer review
Term_86572,validation process
Term_86573,validation psychometric
Term_86574,validation psychometric research
Term_86575,validation radicchi
Term_86576,validation radicchi et
Term_86577,validation reliability
Term_86578,validation reliability determination
Term_86579,validation research
Term_86580,validation research meta
Term_86581,validation study
Term_86582,validation study bibliometric
Term_86583,validation study leximappe
Term_86584,validity
Term_86585,validity altmetrics
Term_86586,validity altmetrics data
Term_86587,validity analysis
Term_86588,validity analysis 1993
Term_86589,validity atmospheric
Term_86590,validity atmospheric chemistry
Term_86591,validity bibliometric
Term_86592,validity bibliometric google
Term_86593,validity board
Term_86594,validity board trustees
Term_86595,validity citation
Term_86596,validity citation counting
Term_86597,validity editorial
Term_86598,validity editorial decisions
Term_86599,validity equations
Term_86600,validity equations predict
Term_86601,validity f1000prime
Term_86602,validity f1000prime peer
Term_86603,validity grant
Term_86604,validity grant decisions
Term_86605,validity index
Term_86606,validity mullins
Term_86607,validity mullins theory
Term_86608,validity query
Term_86609,validity query intent
Term_86610,validity reliability
Term_86611,validity research
Term_86612,validity research funding
Term_86613,validity roy
Term_86614,validity roy approximation
Term_86615,validity sensitivity
Term_86616,validity sensitivity analysis
Term_86617,validity staff
Term_86618,validity staff editors
Term_86619,valuable
Term_86620,valuable evidence
Term_86621,valuable evidence catalogers
Term_86622,valuable words
Term_86623,valuable words price
Term_86624,valuation
Term_86625,valuation research
Term_86626,value
Term_86627,value academic
Term_86628,value academic patents
Term_86629,value added
Term_86630,value added model
Term_86631,value added services
Term_86632,value adding
Term_86633,value adding electronic
Term_86634,value advertised
Term_86635,value advertised annual
Term_86636,value analysis
Term_86637,value analysis variables
Term_86638,value based
Term_86639,value based machine
Term_86640,value based retrieval
Term_86641,value bibliometric
Term_86642,value bibliometric analysis
Term_86643,value calculation
Term_86644,value calculation citation
Term_86645,value case
Term_86646,value case pharmaceuticals
Term_86647,value change
Term_86648,value change case
Term_86649,value change literary
Term_86650,value chinese
Term_86651,value chinese social
Term_86652,value citations
Term_86653,value citations single
Term_86654,value clinical
Term_86655,value clinical information
Term_86656,value complexity
Term_86657,value complexity collection
Term_86658,value equivalent
Term_86659,value experience
Term_86660,value experience research
Term_86661,value exploratory
Term_86662,value exploratory conceptual
Term_86663,value function
Term_86664,value health
Term_86665,value health query
Term_86666,value health research
Term_86667,value hybrid
Term_86668,value hybrid approach
Term_86669,value indicator
Term_86670,value indicator based
Term_86671,value indicators
Term_86672,value indicators applying
Term_86673,value information
Term_86674,value information websites
Term_86675,value journal
Term_86676,value journal impact
Term_86677,value marketing
Term_86678,value marketing advocacy
Term_86679,value measure
Term_86680,value measure antonio
Term_86681,value measuring
Term_86682,value measuring article
Term_86683,value nanotechnology
Term_86684,value panel
Term_86685,value panel smooth
Term_86686,value patent
Term_86687,value patent portfolios
Term_86688,value patents
Term_86689,value patents based
Term_86690,value patents discrete
Term_86691,value perspective
Term_86692,value perspective bibliometric
Term_86693,value pharmaceutical
Term_86694,value pharmaceutical companies
Term_86695,value pharmaceutical industry
Term_86696,value postdoctoral
Term_86697,value postdoctoral study
Term_86698,value publication
Term_86699,value publication citation
Term_86700,value quality
Term_86701,value quality technically
Term_86702,value scientific
Term_86703,value scientific journals
Term_86704,value scientific publications
Term_86705,value special
Term_86706,value special library
Term_86707,value task
Term_86708,value task ontology
Term_86709,value uncertainty
Term_86710,value uncertainty popularity
Term_86711,value user
Term_86712,value user feedback
Term_86713,value weak
Term_86714,value weak intellectual
Term_86715,valued
Term_86716,valued networks
Term_86717,valued scientific
Term_86718,valued scientific impact
Term_86719,valued variables
Term_86720,valued variables use
Term_86721,values
Term_86722,values assessing
Term_86723,values assessing research
Term_86724,values congressional
Term_86725,values congressional fcc
Term_86726,values empirical
Term_86727,values empirical comparison
Term_86728,values incomplete
Term_86729,values incomplete bibliographies
Term_86730,values lowrance
Term_86731,values lowrance ww
Term_86732,values new
Term_86733,values new human
Term_86734,values oriented
Term_86735,values oriented design
Term_86736,values rank
Term_86737,values rank form
Term_86738,values role
Term_86739,values role scientific
Term_86740,values sentences
Term_86741,values sentences text
Term_86742,van
Term_86743,van den
Term_86744,van den besselaar
Term_86745,van eck
Term_86746,van eck 2013
Term_86747,vanclay
Term_86748,vanclay analysis
Term_86749,vanclay analysis australian
Term_86750,vanclay article
Term_86751,vanclay article 2011
Term_86752,vanclay criticism
Term_86753,vanclay dilemma
Term_86754,vanclay dilemma trif
Term_86755,vanishing
Term_86756,vanishing visibility
Term_86757,vanishing visibility senior
Term_86758,vanity
Term_86759,vanity fair
Term_86760,vanity fair scientific
Term_86761,vanraan
Term_86762,vanraan issi
Term_86763,vanraan issi conference
Term_86764,variability
Term_86765,variability individual
Term_86766,variability individual productivity
Term_86767,variability models
Term_86768,variability relationships
Term_86769,variability relationships journal
Term_86770,variability research
Term_86771,variability research performance
Term_86772,variability year
Term_86773,variability year longitudinal
Term_86774,variable
Term_86775,variable exponential
Term_86776,variable exponential growth
Term_86777,variable information
Term_86778,variable information behavior
Term_86779,variable lotka
Term_86780,variable lotka law
Term_86781,variable modeling
Term_86782,variable modeling approach
Term_86783,variables
Term_86784,variables affect
Term_86785,variables affect shape
Term_86786,variables affect technological
Term_86787,variables associated
Term_86788,variables associated agricultural
Term_86789,variables attributes
Term_86790,variables history
Term_86791,variables history implications
Term_86792,variables informetric
Term_86793,variables informetric studies
Term_86794,variables subject
Term_86795,variables subject order
Term_86796,variables use
Term_86797,variables use measuring
Term_86798,variance
Term_86799,variance activities
Term_86800,variance activities researchers
Term_86801,variant
Term_86802,variant audience
Term_86803,variant audience factor
Term_86804,variant index
Term_86805,variant index measure
Term_86806,variant ranking
Term_86807,variant ranking web
Term_86808,variants
Term_86809,variants addition
Term_86810,variants addition standard
Term_86811,variants citation
Term_86812,variants citation data
Term_86813,variants citation impact
Term_86814,variants computation
Term_86815,variants computation standardization
Term_86816,variants discretised
Term_86817,variants discretised lognormal
Term_86818,variants evaluation
Term_86819,variants evaluation citation
Term_86820,variants index
Term_86821,variants index index
Term_86822,variants index using
Term_86823,variants traditional
Term_86824,variants traditional bibliometric
Term_86825,variation
Term_86826,variation calculation
Term_86827,variation calculation author
Term_86828,variation citation
Term_86829,variation citation counts
Term_86830,variation informativity
Term_86831,variation informativity titles
Term_86832,variation inspection
Term_86833,variation inspection approach
Term_86834,variation nationality
Term_86835,variation research
Term_86836,variation research collaboration
Term_86837,variation subdiscipline
Term_86838,variation using
Term_86839,variation using query
Term_86840,variations
Term_86841,variations aging
Term_86842,variations aging scientific
Term_86843,variations content
Term_86844,variations content format
Term_86845,variations extent
Term_86846,variations extent articles
Term_86847,variations standard
Term_86848,variations standard theoretical
Term_86849,variations subjects
Term_86850,variations subjects extent
Term_86851,varies
Term_86852,varies periodical
Term_86853,varies periodical publishing
Term_86854,variety
Term_86855,variety science
Term_86856,variety science citation
Term_86857,various
Term_86858,various career
Term_86859,various career stages
Term_86860,various methods
Term_86861,various methods mapping
Term_86862,various popular
Term_86863,various popular tags
Term_86864,various producers
Term_86865,various producers overview
Term_86866,various research
Term_86867,various research areas
Term_86868,various sciences
Term_86869,vary
Term_86870,vary awareness
Term_86871,varying
Term_86872,varying causality
Term_86873,varying causality research
Term_86874,varying collaboration
Term_86875,varying collaboration networks
Term_86876,varying complexity
Term_86877,varying definitional
Term_86878,varying definitional homogeneity
Term_86879,varying growth
Term_86880,varying growth patterns
Term_86881,varying level
Term_86882,varying level impact
Term_86883,varying subject
Term_86884,varying subject aboutness
Term_86885,vassilievich
Term_86886,vassilievich nalimov
Term_86887,vassiliyevich
Term_86888,vassiliyevich nalimov
Term_86889,vassiliyevich nalimov 1910
Term_86890,vassily
Term_86891,vassily nalimov
Term_86892,vassily nalimov modern
Term_86893,vassily vassilievich
Term_86894,vassily vassilievich nalimov
Term_86895,vassily vassiliyevich
Term_86896,vassily vassiliyevich nalimov
Term_86897,vector
Term_86898,vector machines
Term_86899,vector measuring
Term_86900,vector measuring obsolescence
Term_86901,vector model
Term_86902,vector model information
Term_86903,vector norms
Term_86904,vector overlap
Term_86905,vector overlap similarity
Term_86906,vector quantization
Term_86907,vector space
Term_86908,vector space model
Term_86909,vector space modeling
Term_86910,vector space models
Term_86911,vector spaces
Term_86912,vectors
Term_86913,vectors based
Term_86914,vectors based vector
Term_86915,vegetable
Term_86916,vegetable research
Term_86917,vegetable research bibliometric
Term_86918,vehicle
Term_86919,vehicle research
Term_86920,vehicle systems
Term_86921,vehicle systems china
Term_86922,vehicle technology
Term_86923,vehicular
Term_86924,vehicular language
Term_86925,velho
Term_86926,velho results
Term_86927,velho results brazilian
Term_86928,velocity
Term_86929,velocity measures
Term_86930,velocity measures using
Term_86931,venezuela
Term_86932,venezuelan
Term_86933,venezuelan research
Term_86934,venezuelan research community
Term_86935,venezuelan scientific
Term_86936,venezuelan scientific community
Term_86937,venture
Term_86938,venture capital
Term_86939,venture capital investment
Term_86940,venture failure
Term_86941,venture failure timing
Term_86942,venue
Term_86943,venue author
Term_86944,venue author coupling
Term_86945,verge
Term_86946,verge application
Term_86947,verification
Term_86948,verification japanese
Term_86949,verification japanese industry
Term_86950,verification method
Term_86951,verification method attributes
Term_86952,verification using
Term_86953,verification using successive
Term_86954,vernacular
Term_86955,vernacular vehicular
Term_86956,vernacular vehicular language
Term_86957,versa
Term_86958,versa evidence
Term_86959,versa evidence 34
Term_86960,version
Term_86961,version bradford
Term_86962,version bradford law
Term_86963,version continuous
Term_86964,version continuous concentration
Term_86965,version facts
Term_86966,version facts figures
Term_86967,version resources
Term_86968,version resources digital
Term_86969,version science
Term_86970,version science citation
Term_86971,versioned
Term_86972,versioned plagiarized
Term_86973,versioned plagiarized documents
Term_86974,versions
Term_86975,versions case
Term_86976,versions case science
Term_86977,versions manuscript
Term_86978,versions manuscript published
Term_86979,versus
Term_86980,versus 1980
Term_86981,versus 1980 1984
Term_86982,versus american
Term_86983,versus american psychological
Term_86984,versus author
Term_86985,versus author citations
Term_86986,versus authoritative
Term_86987,versus authoritative health
Term_86988,versus basic
Term_86989,versus basic science
Term_86990,versus bibliometric
Term_86991,versus bibliometric maps
Term_86992,versus brief
Term_86993,versus brief reports
Term_86994,versus citation
Term_86995,versus citation behaviours
Term_86996,versus collaborative
Term_86997,versus collaborative writing
Term_86998,versus content
Term_86999,versus content based
Term_87000,versus contribution
Term_87001,versus contribution researchers
Term_87002,versus digital
Term_87003,versus digital divide
Term_87004,versus digital humanities
Term_87005,versus domestic
Term_87006,versus domestic publication
Term_87007,versus expert
Term_87008,versus expert judgment
Term_87009,versus fractional
Term_87010,versus fractional counting
Term_87011,versus global
Term_87012,versus global citation
Term_87013,versus google
Term_87014,versus google scholar
Term_87015,versus hirsch
Term_87016,versus impact
Term_87017,versus impact factor
Term_87018,versus industry
Term_87019,versus informal
Term_87020,versus informal citations
Term_87021,versus integrated
Term_87022,versus integrated impact
Term_87023,versus international
Term_87024,versus international coauthorship
Term_87025,versus international growth
Term_87026,versus isi
Term_87027,versus isi journal
Term_87028,versus jaccard
Term_87029,versus jaccard index
Term_87030,versus journal
Term_87031,versus journal impact
Term_87032,versus journals
Term_87033,versus journals computer
Term_87034,versus limitations
Term_87035,versus limitations citations
Term_87036,versus machine
Term_87037,versus mass
Term_87038,versus mass producers
Term_87039,versus mendeley
Term_87040,versus mendeley lis
Term_87041,versus national
Term_87042,versus national oriented
Term_87043,versus non
Term_87044,versus non citable
Term_87045,versus nonpoetic
Term_87046,versus nonpoetic features
Term_87047,versus papers
Term_87048,versus personal
Term_87049,versus personal based
Term_87050,versus print
Term_87051,versus print books
Term_87052,versus public
Term_87053,versus public universities
Term_87054,versus quantity
Term_87055,versus quantity scientific
Term_87056,versus reader
Term_87057,versus reader survey
Term_87058,versus regular
Term_87059,versus regular journal
Term_87060,versus relevance
Term_87061,versus relevance studies
Term_87062,versus research
Term_87063,versus research based
Term_87064,versus scopus
Term_87065,versus scopus google
Term_87066,versus social
Term_87067,versus social networking
Term_87068,versus social sciences
Term_87069,versus socio
Term_87070,versus socio economic
Term_87071,versus spoken
Term_87072,versus spoken queries
Term_87073,versus statistical
Term_87074,versus statistical automatic
Term_87075,versus synthesizing
Term_87076,versus tag
Term_87077,versus tag preference
Term_87078,versus united
Term_87079,versus united states
Term_87080,versus web
Term_87081,versus web science
Term_87082,versus web visibility
Term_87083,versus word
Term_87084,versus word matching
Term_87085,versus year
Term_87086,versus year citation
Term_87087,veterinary
Term_87088,veterinary field
Term_87089,veterinary research
Term_87090,veterinary research education
Term_87091,vibration
Term_87092,vibration reduction
Term_87093,vibration reduction control
Term_87094,vice
Term_87095,vice versa
Term_87096,vice versa evidence
Term_87097,vicinity
Term_87098,vicinity science
Term_87099,vicinity science examination
Term_87100,vickery
Term_87101,vickery appreciation
Term_87102,vickery appreciation memoriam
Term_87103,victims
Term_87104,victorian
Term_87105,victorian bushfires
Term_87106,video
Term_87107,video community
Term_87108,video community youtube
Term_87109,video content
Term_87110,video content classification
Term_87111,video digital
Term_87112,video digital libraries
Term_87113,video digital library
Term_87114,video games
Term_87115,video games interactive
Term_87116,video games librarian
Term_87117,video question
Term_87118,video question answering
Term_87119,video retrieval
Term_87120,video semantic
Term_87121,video semantic search
Term_87122,video sequences
Term_87123,video sharing
Term_87124,video sharing sites
Term_87125,video storyboard
Term_87126,video storyboard keyframes
Term_87127,video summarization
Term_87128,video surrogates
Term_87129,video technologies
Term_87130,video technologies collaboration
Term_87131,videogame
Term_87132,videogame preservation
Term_87133,videogame preservation massively
Term_87134,videogames
Term_87135,videogames long
Term_87136,videogames long term
Term_87137,videos
Term_87138,videos china
Term_87139,videos china abroad
Term_87140,videos cited
Term_87141,videos cited academic
Term_87142,videos guatemalan
Term_87143,videos guatemalan rock
Term_87144,videos research
Term_87145,videos research communication
Term_87146,videos using
Term_87147,videos using tags
Term_87148,videos viewership
Term_87149,videos viewership value
Term_87150,vienna
Term_87151,vienna austria
Term_87152,vienna austria welcoming
Term_87153,vietnam
Term_87154,vietnam seen
Term_87155,vietnam seen scopus
Term_87156,view
Term_87157,view afar
Term_87158,view afar visible
Term_87159,view analogy
Term_87160,view analyses
Term_87161,view analyses korean
Term_87162,view british
Term_87163,view british science
Term_87164,view classifying
Term_87165,view classifying web
Term_87166,view clustering
Term_87167,view clustering exemplars
Term_87168,view coming
Term_87169,view coming age
Term_87170,view data
Term_87171,view data p2p
Term_87172,view data tucker
Term_87173,view dynamics
Term_87174,view dynamics academia
Term_87175,view empirical
Term_87176,view empirical study
Term_87177,view evolution
Term_87178,view evolution scientific
Term_87179,view future
Term_87180,view future library
Term_87181,view hospitality
Term_87182,view hospitality tourism
Term_87183,view information
Term_87184,view information retrieval
Term_87185,view information science
Term_87186,view international
Term_87187,view international authorship
Term_87188,view internet
Term_87189,view interpersonal
Term_87190,view interpersonal knowledge
Term_87191,view national
Term_87192,view national research
Term_87193,view periphery
Term_87194,view retrograde
Term_87195,view retrograde amnesia
Term_87196,view scientific
Term_87197,view scientific collaboration
Term_87198,view scientific trading
Term_87199,view sociology
Term_87200,view stride
Term_87201,view stride program
Term_87202,view universe
Term_87203,view universe big
Term_87204,viewed
Term_87205,viewed journal
Term_87206,viewed journal current
Term_87207,viewed lense
Term_87208,viewed lense referenced
Term_87209,viewed patterns
Term_87210,viewed patterns web
Term_87211,viewed research
Term_87212,viewed research industry
Term_87213,viewed web
Term_87214,viewed web knowledge
Term_87215,viewership
Term_87216,viewership value
Term_87217,viewership value uncertainty
Term_87218,viewfinder
Term_87219,viewfinder video
Term_87220,viewfinder video retrieval
Term_87221,viewing
Term_87222,viewing exploring
Term_87223,viewing exploring subject
Term_87224,viewing information
Term_87225,viewing information literacy
Term_87226,viewpoint
Term_87227,viewpoint applicants
Term_87228,viewpoint applicants self
Term_87229,viewpoint bibliometrics
Term_87230,viewpoint leading
Term_87231,viewpoint leading academies
Term_87232,viewpoint sense
Term_87233,viewpoint sense making
Term_87234,viewpoints
Term_87235,viewpoints approach
Term_87236,viewpoints approach digital
Term_87237,views
Term_87238,views ability
Term_87239,views ability year
Term_87240,views aesthetics
Term_87241,views plos
Term_87242,views plos articles
Term_87243,views scientists
Term_87244,views scientists encounter
Term_87245,views software
Term_87246,views software engineering
Term_87247,vigorous
Term_87248,vigorous postgraduate
Term_87249,vigorous postgraduate program
Term_87250,villain
Term_87251,villain hall
Term_87252,villain hall moderating
Term_87253,vintage
Term_87254,vintage support
Term_87255,vintage support winter
Term_87256,violence
Term_87257,violence online
Term_87258,violence online expectations
Term_87259,violence sources
Term_87260,violence sources contexts
Term_87261,violence survivors
Term_87262,violence victims
Term_87263,violent
Term_87264,violent crises
Term_87265,violent crises study
Term_87266,virology
Term_87267,virology research
Term_87268,virtual
Term_87269,virtual centre
Term_87270,virtual communities
Term_87271,virtual communities comparison
Term_87272,virtual communities feminist
Term_87273,virtual community
Term_87274,virtual cultural
Term_87275,virtual cultural map
Term_87276,virtual inequality
Term_87277,virtual inequality digital
Term_87278,virtual integration
Term_87279,virtual integration library
Term_87280,virtual libraries
Term_87281,virtual libraries descriptive
Term_87282,virtual maps
Term_87283,virtual maps virtual
Term_87284,virtual organizations
Term_87285,virtual publishing
Term_87286,virtual publishing transformation
Term_87287,virtual real
Term_87288,virtual real relationship
Term_87289,virtual reference
Term_87290,virtual reference comparing
Term_87291,virtual reference experience
Term_87292,virtual reference services
Term_87293,virtual reference training
Term_87294,virtual team
Term_87295,virtual team continuum
Term_87296,virtual teams
Term_87297,virtual teams potential
Term_87298,virtual users
Term_87299,virtual users qualitative
Term_87300,virtual world
Term_87301,virtual world insights
Term_87302,virtual worlds
Term_87303,virtual worlds handbook
Term_87304,virtual worlds testing
Term_87305,virtue
Term_87306,virtue forgetting
Term_87307,virtue forgetting digital
Term_87308,viruses
Term_87309,viruses potential
Term_87310,viruses potential weapons
Term_87311,visibility
Term_87312,visibility argentinean
Term_87313,visibility argentinean publications
Term_87314,visibility brazilian
Term_87315,visibility brazilian psychiatric
Term_87316,visibility chinese
Term_87317,visibility chinese scientific
Term_87318,visibility citation
Term_87319,visibility citation impact
Term_87320,visibility collaboration
Term_87321,visibility collaboration web
Term_87322,visibility collective
Term_87323,visibility collective competencies
Term_87324,visibility dermatology
Term_87325,visibility dermatology journals
Term_87326,visibility diffusion
